Country,EdLevel,YearsCodePro,Salary
Other,Master’s degree,4.0,45912.0
India,Master’s degree,22.0,48365.0
Switzerland,Bachelor’s degree,2.0,88941.0
Other,Master’s degree,8.0,35208.0
India,Bachelor’s degree,2.0,12897.0
Sweden,Less than a Bachelors,25.0,90348.0
Ukraine,Master’s degree,6.0,60000.0
Switzerland,Bachelor’s degree,10.0,93078.0
Other,Bachelor’s degree,15.0,113472.0
Bulgaria,Post grad,1.0,19632.0
France,Master’s degree,2.0,42657.0
Austria,Master’s degree,11.0,51192.0
India,Bachelor’s degree,4.0,108336.0
United States of America,Bachelor’s degree,2.0,80000.0
Denmark,Bachelor’s degree,3.0,60228.0
Germany,Post grad,28.0,57588.0
Germany,Master’s degree,18.0,152891.0
Germany,Less than a Bachelors,13.0,85308.0
Other,Master’s degree,0.5,100000.0
United States of America,Bachelor’s degree,10.0,180000.0
Germany,Less than a Bachelors,23.0,85315.0
Indonesia,Less than a Bachelors,4.0,16380.0
Other,Bachelor’s degree,2.0,67200.0
Other,Master’s degree,7.0,67602.0
Other,Bachelor’s degree,0.5,45888.0
Austria,Master’s degree,5.0,45857.0
Denmark,Master’s degree,6.0,111840.0
Other,Bachelor’s degree,0.5,24312.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,89706.0
Netherlands,Master’s degree,30.0,106644.0
Sweden,Master’s degree,14.0,73140.0
"Iran, Islamic Republic of...",Bachelor’s degree,2.0,34044.0
United States of America,Master’s degree,15.0,214000.0
India,Bachelor’s degree,9.0,30953.0
Ukraine,Master’s degree,12.0,28428.0
South Africa,Bachelor’s degree,1.0,24276.0
Norway,Master’s degree,3.0,87113.0
Poland,Post grad,2.0,30528.0
Other,Master’s degree,14.0,42000.0
Other,Less than a Bachelors,4.0,63984.0
Israel,Less than a Bachelors,3.0,114792.0
Other,Bachelor’s degree,16.0,47400.0
Other,Master’s degree,8.0,48624.0
India,Bachelor’s degree,1.0,15477.0
India,Bachelor’s degree,6.0,128972.0
Portugal,Less than a Bachelors,21.0,51192.0
Germany,Master’s degree,12.0,79983.0
Switzerland,Bachelor’s degree,7.0,127206.0
Turkey,Bachelor’s degree,4.0,11280.0
Spain,Bachelor’s degree,22.0,121574.0
China,Bachelor’s degree,4.0,27024.0
Australia,Bachelor’s degree,10.0,70771.0
India,Bachelor’s degree,15.0,20892.0
Other,Bachelor’s degree,10.0,50701.0
India,Bachelor’s degree,4.0,32243.0
Belgium,Bachelor’s degree,5.0,46068.0
Switzerland,Bachelor’s degree,5.0,107556.0
Other,Master’s degree,9.0,51012.0
Canada,Master’s degree,6.0,62467.0
Japan,Post grad,2.0,43131.0
Lithuania,Master’s degree,0.5,36259.0
China,Bachelor’s degree,6.0,69374.0
Pakistan,Bachelor’s degree,3.0,28527.0
Israel,Less than a Bachelors,3.0,89676.0
Belgium,Bachelor’s degree,6.0,51192.0
India,Bachelor’s degree,11.0,51589.0
Germany,Bachelor’s degree,2.0,63986.0
Austria,Master’s degree,4.0,46390.0
Other,Master’s degree,0.5,245112.0
Germany,Bachelor’s degree,5.0,61853.0
Italy,Master’s degree,2.0,29436.0
Spain,Less than a Bachelors,22.0,85315.0
Netherlands,Less than a Bachelors,5.0,43724.0
Australia,Master’s degree,3.0,72894.0
India,Bachelor’s degree,0.5,25794.0
Sweden,Less than a Bachelors,10.0,54852.0
"Iran, Islamic Republic of...",Master’s degree,7.0,141828.0
Other,Less than a Bachelors,20.0,86400.0
Italy,Master’s degree,2.0,27941.0
Canada,Less than a Bachelors,5.0,96824.0
Turkey,Bachelor’s degree,5.0,30060.0
Greece,Bachelor’s degree,4.0,17916.0
Other,Bachelor’s degree,5.0,24888.0
Germany,Master’s degree,8.0,79983.0
India,Master’s degree,19.0,23220.0
Italy,Post grad,10.0,68252.0
Other,Bachelor’s degree,6.0,39276.0
France,Bachelor’s degree,1.0,40525.0
China,Master’s degree,19.0,105111.0
India,Bachelor’s degree,3.0,25794.0
Austria,Bachelor’s degree,5.0,52789.0
New Zealand,Less than a Bachelors,24.0,97143.0
Finland,Master’s degree,7.0,81900.0
Greece,Bachelor’s degree,3.0,14076.0
Other,Less than a Bachelors,7.0,26364.0
Switzerland,Master’s degree,19.0,113761.0
Russian Federation,Bachelor’s degree,3.0,43020.0
Other,Post grad,3.0,31662.0
Australia,Bachelor’s degree,1.0,63694.0
Finland,Less than a Bachelors,3.0,46452.0
France,Master’s degree,5.0,47990.0
Germany,Master’s degree,8.0,69318.0
Spain,Master’s degree,3.0,36259.0
United States of America,Less than a Bachelors,4.0,185000.0
Other,Bachelor’s degree,6.0,29412.0
Germany,Master’s degree,6.0,84462.0
United States of America,Master’s degree,40.0,200000.0
Denmark,Bachelor’s degree,0.5,60225.0
India,Master’s degree,18.0,30948.0
China,Bachelor’s degree,5.0,36036.0
Germany,Bachelor’s degree,21.0,70380.0
India,Master’s degree,9.0,51589.0
France,Master’s degree,0.5,30072.0
Germany,Bachelor’s degree,7.0,71451.0
"Iran, Islamic Republic of...",Less than a Bachelors,4.0,28368.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,18.0,94230.0
Poland,Bachelor’s degree,2.0,33300.0
Germany,Master’s degree,4.0,62712.0
Sweden,Bachelor’s degree,25.0,91421.0
Germany,Bachelor’s degree,24.0,85315.0
Sweden,Less than a Bachelors,3.0,53628.0
Germany,Bachelor’s degree,4.0,36468.0
India,Master’s degree,20.0,96729.0
Australia,Post grad,10.0,71479.0
Italy,Less than a Bachelors,12.0,50123.0
India,Bachelor’s degree,7.0,154764.0
Pakistan,Bachelor’s degree,5.0,11964.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,96742.0
South Africa,Master’s degree,30.0,37932.0
India,Bachelor’s degree,8.0,23215.0
Spain,Master’s degree,8.0,37325.0
Spain,Less than a Bachelors,14.0,47990.0
India,Bachelor’s degree,0.5,11607.0
Russian Federation,Master’s degree,23.0,51948.0
Other,Bachelor’s degree,6.0,63986.0
Israel,Less than a Bachelors,4.0,118380.0
Germany,Master’s degree,10.0,51189.0
Germany,Less than a Bachelors,17.0,50268.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,73499.0
Germany,Master’s degree,10.0,77850.0
Germany,Bachelor’s degree,5.0,69318.0
Germany,Master’s degree,5.0,31992.0
India,Bachelor’s degree,5.0,23215.0
Germany,Bachelor’s degree,10.0,63986.0
Bulgaria,Bachelor’s degree,3.0,40897.0
Czech Republic,Master’s degree,15.0,36372.0
India,Bachelor’s degree,0.5,12897.0
Czech Republic,Bachelor’s degree,6.0,23388.0
France,Master’s degree,1.0,38392.0
Switzerland,Less than a Bachelors,8.0,108590.0
Italy,Bachelor’s degree,10.0,60787.0
Israel,Less than a Bachelors,3.0,93264.0
Germany,Master’s degree,35.0,191959.0
Italy,Less than a Bachelors,4.0,19200.0
Italy,Less than a Bachelors,0.5,20472.0
France,Master’s degree,7.0,47990.0
United States of America,Master’s degree,6.0,139000.0
Other,Less than a Bachelors,6.0,52369.0
Netherlands,Bachelor’s degree,4.0,49764.0
Australia,Bachelor’s degree,0.5,42463.0
India,Bachelor’s degree,7.0,23215.0
Israel,Less than a Bachelors,4.0,93264.0
Austria,Bachelor’s degree,14.0,58872.0
Japan,Bachelor’s degree,8.0,78419.0
Greece,Master’s degree,15.0,39245.0
Ireland,Less than a Bachelors,30.0,157351.0
Austria,Master’s degree,4.0,85315.0
Germany,Bachelor’s degree,14.0,70385.0
Germany,Post grad,10.0,56076.0
Austria,Bachelor’s degree,7.0,57588.0
Italy,Bachelor’s degree,12.0,17916.0
Italy,Master’s degree,7.0,33060.0
Pakistan,Bachelor’s degree,9.0,19152.0
Spain,Post grad,10.0,45857.0
United Kingdom of Great Britain and Northern Ireland,Post grad,3.0,75384.0
India,Bachelor’s degree,4.0,24505.0
Russian Federation,Less than a Bachelors,15.0,83124.0
South Africa,Bachelor’s degree,17.0,83448.0
Bulgaria,Less than a Bachelors,10.0,119280.0
Italy,Less than a Bachelors,20.0,25596.0
Spain,Bachelor’s degree,7.0,47990.0
India,Bachelor’s degree,10.0,51589.0
Italy,Bachelor’s degree,11.0,39032.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,10.0,106793.0
Other,Less than a Bachelors,3.0,13464.0
Italy,Less than a Bachelors,6.0,74651.0
Switzerland,Less than a Bachelors,10.0,113761.0
Turkey,Post grad,6.0,10524.0
Hungary,Master’s degree,15.0,139485.0
"Iran, Islamic Republic of...",Master’s degree,4.0,42552.0
Other,Master’s degree,5.0,32736.0
India,Bachelor’s degree,7.0,20636.0
South Africa,Bachelor’s degree,7.0,54961.0
Other,Bachelor’s degree,15.0,95979.0
Norway,Less than a Bachelors,9.0,130669.0
Australia,Bachelor’s degree,4.0,43453.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,75384.0
France,Master’s degree,3.0,42657.0
Netherlands,Master’s degree,5.0,63986.0
Germany,Master’s degree,20.0,106644.0
Germany,Master’s degree,16.0,57588.0
Denmark,Post grad,14.0,77436.0
Other,Bachelor’s degree,5.0,76783.0
United States of America,Master’s degree,1.0,64000.0
Poland,Master’s degree,11.0,49956.0
France,Post grad,6.0,44790.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,17.0,107422.0
Sweden,Less than a Bachelors,22.0,81263.0
Romania,Bachelor’s degree,12.0,57588.0
Germany,Less than a Bachelors,5.0,28152.0
Other,Master’s degree,7.0,96012.0
Turkey,Bachelor’s degree,13.0,16536.0
Russian Federation,Less than a Bachelors,1.0,12000.0
Switzerland,Less than a Bachelors,7.0,80667.0
Bulgaria,Bachelor’s degree,0.5,14400.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,79153.0
Germany,Bachelor’s degree,4.0,57588.0
United States of America,Less than a Bachelors,5.0,101000.0
Germany,Less than a Bachelors,2.0,12792.0
Pakistan,Bachelor’s degree,5.0,20952.0
France,Less than a Bachelors,5.0,47990.0
Netherlands,Bachelor’s degree,10.0,58654.0
Denmark,Less than a Bachelors,25.0,63672.0
France,Master’s degree,0.5,34126.0
Other,Bachelor’s degree,3.0,13536.0
India,Master’s degree,5.0,70935.0
Czech Republic,Master’s degree,5.0,47808.0
United States of America,Bachelor’s degree,14.0,165000.0
Israel,Bachelor’s degree,30.0,71748.0
India,Bachelor’s degree,0.5,25794.0
Finland,Master’s degree,2.0,53322.0
India,Bachelor’s degree,3.0,37920.0
South Africa,Bachelor’s degree,7.0,75863.0
France,Bachelor’s degree,1.0,17916.0
Germany,Less than a Bachelors,0.5,25596.0
Italy,Less than a Bachelors,3.0,30927.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,54025.0
Israel,Bachelor’s degree,20.0,119571.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,10.0,69102.0
Greece,Bachelor’s degree,6.0,19200.0
Lithuania,Less than a Bachelors,19.0,88296.0
Germany,Bachelor’s degree,6.0,65053.0
Italy,Master’s degree,3.0,47990.0
Other,Bachelor’s degree,15.0,99408.0
Poland,Master’s degree,4.0,16092.0
India,Bachelor’s degree,8.0,11607.0
Italy,Less than a Bachelors,4.0,26661.0
Russian Federation,Master’s degree,13.0,72732.0
India,Master’s degree,1.0,13152.0
Slovenia,Bachelor’s degree,2.0,25596.0
Austria,Master’s degree,5.0,69318.0
Netherlands,Master’s degree,30.0,70385.0
Sweden,Less than a Bachelors,4.0,54852.0
India,Less than a Bachelors,10.0,41271.0
Other,Master’s degree,10.0,36046.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,75384.0
Spain,Less than a Bachelors,5.0,69372.0
Other,Master’s degree,3.0,25596.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,11.0,62820.0
Other,Bachelor’s degree,2.0,23746.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,1.0,32666.0
Serbia,Master’s degree,5.0,39228.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,75384.0
Austria,Less than a Bachelors,21.0,106644.0
South Africa,Bachelor’s degree,5.0,30348.0
South Africa,Bachelor’s degree,15.0,37932.0
Norway,Less than a Bachelors,10.0,93422.0
India,Bachelor’s degree,0.5,58037.0
Other,Master’s degree,4.0,22308.0
Norway,Bachelor’s degree,10.0,103705.0
Romania,Bachelor’s degree,23.0,76980.0
Spain,Less than a Bachelors,2.0,26661.0
France,Bachelor’s degree,11.0,63986.0
Germany,Bachelor’s degree,19.0,53322.0
India,Bachelor’s degree,2.0,11736.0
Germany,Bachelor’s degree,13.0,51192.0
Netherlands,Bachelor’s degree,3.0,33276.0
Other,Bachelor’s degree,10.0,10332.0
France,Master’s degree,10.0,28794.0
Israel,Less than a Bachelors,6.0,107616.0
Switzerland,Less than a Bachelors,0.5,18612.0
United States of America,Less than a Bachelors,8.0,100000.0
Serbia,Bachelor’s degree,3.0,57756.0
Other,Bachelor’s degree,9.0,60012.0
France,Master’s degree,5.0,42657.0
Greece,Master’s degree,20.0,159966.0
Norway,Less than a Bachelors,35.0,82964.0
Germany,Bachelor’s degree,2.0,53748.0
Russian Federation,Less than a Bachelors,2.0,15588.0
Indonesia,Bachelor’s degree,2.0,12696.0
Sweden,Master’s degree,5.0,52416.0
Italy,Bachelor’s degree,2.0,29436.0
France,Master’s degree,9.0,26040.0
South Africa,Less than a Bachelors,3.0,18966.0
Australia,Bachelor’s degree,6.0,74310.0
India,Bachelor’s degree,6.0,13932.0
Italy,Bachelor’s degree,16.0,31993.0
South Africa,Master’s degree,25.0,75863.0
Turkey,Bachelor’s degree,3.0,12024.0
Portugal,Post grad,17.0,113042.0
Spain,Post grad,15.0,63986.0
Germany,Master’s degree,13.0,95979.0
Germany,Master’s degree,11.0,76783.0
Russian Federation,Master’s degree,21.0,62340.0
Netherlands,Master’s degree,0.5,46704.0
Italy,Bachelor’s degree,9.0,38392.0
France,Master’s degree,5.0,44790.0
Other,Bachelor’s degree,4.0,16800.0
Germany,Bachelor’s degree,5.0,57588.0
Australia,Master’s degree,17.0,176928.0
France,Master’s degree,4.0,44790.0
Israel,Bachelor’s degree,15.0,136308.0
Netherlands,Post grad,5.0,106644.0
United States of America,Bachelor’s degree,2.0,125000.0
India,Bachelor’s degree,6.0,14372.0
United States of America,Bachelor’s degree,6.0,165000.0
Other,Less than a Bachelors,13.0,23144.0
Hungary,Bachelor’s degree,2.0,15060.0
Bulgaria,Master’s degree,8.0,76788.0
Other,Bachelor’s degree,3.0,20004.0
Other,Bachelor’s degree,3.0,26638.0
India,Master’s degree,3.0,213576.0
India,Bachelor’s degree,3.0,34822.0
Israel,Less than a Bachelors,3.0,143484.0
Israel,Less than a Bachelors,0.5,28692.0
Italy,Bachelor’s degree,3.0,27727.0
Italy,Less than a Bachelors,12.0,40956.0
Spain,Less than a Bachelors,6.0,34659.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,1.0,26384.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,24.0,60312.0
Finland,Master’s degree,12.0,63984.0
Netherlands,Bachelor’s degree,18.0,53322.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,6.0,31410.0
Norway,Bachelor’s degree,36.0,93335.0
Spain,Bachelor’s degree,9.0,51722.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,125639.0
Australia,Less than a Bachelors,15.0,84924.0
Germany,Bachelor’s degree,7.0,69318.0
France,Master’s degree,8.0,13572.0
Netherlands,Bachelor’s degree,2.0,35832.0
Indonesia,Master’s degree,4.0,28668.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,4.0,75384.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,8.0,37692.0
Austria,Bachelor’s degree,4.0,46390.0
Germany,Master’s degree,4.0,79020.0
Finland,Bachelor’s degree,7.0,51189.0
Israel,Bachelor’s degree,5.0,204468.0
India,Less than a Bachelors,10.0,15477.0
Other,Post grad,7.0,61176.0
France,Master’s degree,2.0,34548.0
Germany,Bachelor’s degree,14.0,66540.0
Japan,Bachelor’s degree,0.5,39210.0
Other,Bachelor’s degree,12.0,48000.0
Switzerland,Master’s degree,14.0,118932.0
Germany,Master’s degree,27.0,95979.0
India,Bachelor’s degree,7.0,30953.0
Finland,Less than a Bachelors,10.0,76783.0
India,Bachelor’s degree,5.0,45140.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,26.0,87948.0
Austria,Post grad,11.0,88514.0
Australia,Master’s degree,5.0,77848.0
Israel,Bachelor’s degree,2.0,78912.0
Austria,Master’s degree,10.0,63986.0
France,Master’s degree,16.0,75717.0
Spain,Bachelor’s degree,3.0,46923.0
Other,Less than a Bachelors,12.0,34008.0
Czech Republic,Master’s degree,3.0,31176.0
Other,Less than a Bachelors,12.0,95699.0
Spain,Bachelor’s degree,14.0,39458.0
Germany,Less than a Bachelors,17.0,55455.0
Austria,Master’s degree,8.0,77100.0
Italy,Master’s degree,2.0,31993.0
Germany,Less than a Bachelors,11.0,83182.0
France,Master’s degree,11.0,63986.0
South Africa,Bachelor’s degree,3.0,34140.0
United States of America,Bachelor’s degree,2.0,75000.0
Poland,Bachelor’s degree,1.0,23592.0
Finland,Master’s degree,11.0,74868.0
Poland,Master’s degree,26.0,46896.0
"Iran, Islamic Republic of...",Bachelor’s degree,2.0,22692.0
Bulgaria,Master’s degree,8.0,32712.0
Netherlands,Bachelor’s degree,10.0,42657.0
Slovenia,Bachelor’s degree,6.0,44796.0
United Kingdom of Great Britain and Northern Ireland,Post grad,11.0,192228.0
Other,Master’s degree,8.0,33396.0
Poland,Master’s degree,4.0,29136.0
Portugal,Less than a Bachelors,15.0,106644.0
Greece,Less than a Bachelors,2.0,10236.0
Hungary,Bachelor’s degree,10.0,22932.0
Italy,Less than a Bachelors,16.0,35192.0
Spain,Post grad,5.0,31993.0
India,Bachelor’s degree,9.0,64486.0
Switzerland,Less than a Bachelors,3.0,140650.0
Turkey,Bachelor’s degree,16.0,15032.0
Switzerland,Post grad,4.0,82736.0
Czech Republic,Post grad,10.0,25980.0
Germany,Master’s degree,8.0,58654.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,35.0,85435.0
Spain,Master’s degree,6.0,38392.0
Norway,Master’s degree,5.0,67409.0
Germany,Bachelor’s degree,17.0,95979.0
Austria,Bachelor’s degree,10.0,69318.0
Netherlands,Master’s degree,3.0,47352.0
Portugal,Post grad,10.0,47990.0
Czech Republic,Less than a Bachelors,16.0,41568.0
Germany,Bachelor’s degree,4.0,43512.0
Other,Bachelor’s degree,1.0,70272.0
Other,Master’s degree,17.0,36552.0
India,Bachelor’s degree,11.0,58037.0
Australia,Bachelor’s degree,8.0,106157.0
Germany,Less than a Bachelors,9.0,43512.0
France,Bachelor’s degree,5.0,29736.0
Other,Bachelor’s degree,4.0,65698.0
Netherlands,Less than a Bachelors,5.0,34356.0
Germany,Less than a Bachelors,7.0,69318.0
Romania,Master’s degree,9.0,63804.0
Czech Republic,Less than a Bachelors,10.0,36372.0
Norway,Master’s degree,0.5,67409.0
Other,Bachelor’s degree,15.0,58545.0
Germany,Less than a Bachelors,1.0,58654.0
Other,Master’s degree,10.0,43752.0
Denmark,Master’s degree,2.0,55068.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,8.0,47743.0
Italy,Less than a Bachelors,7.0,27727.0
Germany,Master’s degree,4.0,56521.0
Lithuania,Bachelor’s degree,3.0,31992.0
Sweden,Post grad,12.0,61560.0
United States of America,Post grad,21.0,200000.0
Denmark,Less than a Bachelors,11.0,86035.0
Poland,Less than a Bachelors,2.0,99900.0
Poland,Bachelor’s degree,3.0,24972.0
Other,Post grad,18.0,38388.0
Lithuania,Bachelor’s degree,3.0,28152.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,1.0,75384.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,131921.0
Germany,Less than a Bachelors,8.0,56574.0
United States of America,Less than a Bachelors,10.0,105000.0
France,Master’s degree,3.0,74651.0
Russian Federation,Post grad,20.0,62340.0
Germany,Less than a Bachelors,5.0,53748.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,36435.0
Germany,Bachelor’s degree,0.5,50123.0
Finland,Master’s degree,4.0,53322.0
Germany,Less than a Bachelors,12.0,143969.0
Germany,Post grad,6.0,95979.0
Czech Republic,Master’s degree,7.0,24420.0
Belgium,Bachelor’s degree,7.0,33912.0
Italy,Less than a Bachelors,12.0,55455.0
Other,Bachelor’s degree,3.0,12864.0
Russian Federation,Bachelor’s degree,14.0,22440.0
Germany,Less than a Bachelors,6.0,38388.0
Finland,Master’s degree,5.0,63984.0
France,Master’s degree,7.0,47990.0
Hungary,Less than a Bachelors,23.0,23436.0
Germany,Bachelor’s degree,3.0,49272.0
Germany,Less than a Bachelors,6.0,38328.0
Sweden,Less than a Bachelors,4.0,48756.0
Netherlands,Bachelor’s degree,3.0,52464.0
Australia,Post grad,5.0,116065.0
Germany,Bachelor’s degree,12.0,106644.0
Switzerland,Master’s degree,5.0,98248.0
Sweden,Less than a Bachelors,4.0,52416.0
Italy,Less than a Bachelors,17.0,53322.0
Finland,Master’s degree,22.0,63984.0
Poland,Bachelor’s degree,6.0,41628.0
Other,Post grad,5.0,20472.0
India,Bachelor’s degree,2.0,20636.0
Germany,Master’s degree,7.0,44796.0
Spain,Bachelor’s degree,9.0,45857.0
France,Master’s degree,4.0,42018.0
Germany,Bachelor’s degree,0.5,56521.0
Germany,Bachelor’s degree,5.0,61853.0
Other,Bachelor’s degree,10.0,13332.0
Ukraine,Master’s degree,17.0,41832.0
Canada,Less than a Bachelors,2.0,43727.0
Netherlands,Bachelor’s degree,29.0,51756.0
Israel,Bachelor’s degree,10.0,125544.0
Australia,Bachelor’s degree,6.0,101203.0
Pakistan,Bachelor’s degree,4.0,23940.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,12.0,125639.0
India,Less than a Bachelors,9.0,23215.0
Turkey,Post grad,10.0,26304.0
Sweden,Bachelor’s degree,20.0,67044.0
Germany,Master’s degree,32.0,74651.0
France,Less than a Bachelors,8.0,34979.0
Indonesia,Master’s degree,17.0,26849.0
China,Bachelor’s degree,3.0,36036.0
Spain,Master’s degree,4.0,35192.0
France,Master’s degree,4.0,27768.0
Germany,Post grad,18.0,101312.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,24.0,89204.0
Italy,Bachelor’s degree,5.0,36259.0
Czech Republic,Bachelor’s degree,14.0,73616.0
Italy,Master’s degree,3.0,25596.0
Other,Less than a Bachelors,10.0,13548.0
Czech Republic,Master’s degree,8.0,63552.0
Other,Master’s degree,3.0,17856.0
Sweden,Post grad,8.0,54852.0
Spain,Less than a Bachelors,5.0,38392.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,28.0,118101.0
Germany,Post grad,3.0,66540.0
Italy,Master’s degree,20.0,49056.0
Czech Republic,Less than a Bachelors,21.0,124716.0
China,Bachelor’s degree,9.0,50448.0
France,Master’s degree,8.0,44790.0
Norway,Bachelor’s degree,2.0,124447.0
Other,Less than a Bachelors,10.0,44796.0
Israel,Bachelor’s degree,1.0,10188.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,30.0,95979.0
Austria,Master’s degree,7.0,47990.0
Other,Bachelor’s degree,3.0,14388.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,1.0,40833.0
Lithuania,Master’s degree,6.0,38388.0
Spain,Bachelor’s degree,1.0,19729.0
Sweden,Bachelor’s degree,7.0,91421.0
France,Master’s degree,2.0,38392.0
Belgium,Master’s degree,5.0,31992.0
Poland,Bachelor’s degree,7.0,78000.0
Belgium,Master’s degree,15.0,85315.0
Sweden,Bachelor’s degree,8.0,121894.0
India,Master’s degree,12.0,25794.0
India,Master’s degree,14.0,23220.0
Italy,Bachelor’s degree,20.0,90647.0
Sweden,Bachelor’s degree,6.0,53628.0
Denmark,Bachelor’s degree,3.0,72444.0
Germany,Less than a Bachelors,6.0,66540.0
Germany,Bachelor’s degree,3.0,57588.0
Italy,Less than a Bachelors,11.0,26772.0
Germany,Bachelor’s degree,6.0,47990.0
Sweden,Master’s degree,10.0,79236.0
Serbia,Less than a Bachelors,4.0,70740.0
Australia,Bachelor’s degree,20.0,212313.0
Germany,Less than a Bachelors,3.0,95979.0
Netherlands,Less than a Bachelors,11.0,69318.0
Netherlands,Bachelor’s degree,14.0,69318.0
Italy,Less than a Bachelors,12.0,85315.0
Germany,Less than a Bachelors,6.0,55032.0
Italy,Less than a Bachelors,10.0,42657.0
Other,Bachelor’s degree,7.0,24882.0
France,Master’s degree,8.0,46923.0
Spain,Master’s degree,33.0,95979.0
Lithuania,Bachelor’s degree,7.0,42228.0
France,Master’s degree,14.0,76783.0
Italy,Master’s degree,5.0,51189.0
Germany,Bachelor’s degree,4.0,47990.0
India,Bachelor’s degree,7.0,15480.0
India,Bachelor’s degree,3.0,216672.0
Denmark,Master’s degree,7.0,65388.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,12.0,94230.0
Russian Federation,Master’s degree,3.0,51948.0
India,Bachelor’s degree,11.0,51589.0
Switzerland,Bachelor’s degree,3.0,82736.0
United Kingdom of Great Britain and Northern Ireland,Post grad,10.0,65031.0
Germany,Bachelor’s degree,4.0,55455.0
Finland,Master’s degree,12.0,61428.0
Bulgaria,Master’s degree,6.0,16356.0
Switzerland,Bachelor’s degree,7.0,86868.0
India,Bachelor’s degree,3.0,34822.0
Germany,Master’s degree,2.0,76783.0
Finland,Bachelor’s degree,15.0,31992.0
Ukraine,Master’s degree,7.0,42000.0
France,Master’s degree,25.0,111976.0
Germany,Bachelor’s degree,3.0,63986.0
Bulgaria,Master’s degree,6.0,32717.0
India,Bachelor’s degree,1.0,11607.0
Switzerland,Bachelor’s degree,3.0,89975.0
Poland,Master’s degree,10.0,43938.0
Other,Master’s degree,2.0,17856.0
South Africa,Master’s degree,16.0,82185.0
Argentina,Less than a Bachelors,4.0,22212.0
Belgium,Bachelor’s degree,6.0,55032.0
Sweden,Master’s degree,11.0,56076.0
Spain,Bachelor’s degree,2.0,69318.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,9.0,144485.0
India,Bachelor’s degree,14.0,18576.0
France,Master’s degree,15.0,42657.0
Romania,Less than a Bachelors,5.0,33648.0
Belgium,Less than a Bachelors,2.0,27936.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,12.0,79153.0
United States of America,Bachelor’s degree,10.0,185000.0
Pakistan,Bachelor’s degree,2.0,17952.0
Spain,Master’s degree,9.0,60787.0
Sweden,Less than a Bachelors,4.0,54852.0
France,Less than a Bachelors,6.0,37325.0
Lithuania,Bachelor’s degree,1.0,29436.0
Norway,Master’s degree,1.0,62223.0
Germany,Master’s degree,7.0,101312.0
Ukraine,Bachelor’s degree,0.5,18000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,10.0,87948.0
France,Master’s degree,2.0,35196.0
Norway,Master’s degree,4.0,82964.0
Other,Bachelor’s degree,2.0,17052.0
Germany,Bachelor’s degree,7.0,59987.0
Other,Less than a Bachelors,10.0,62712.0
Lithuania,Master’s degree,4.0,69108.0
Germany,Bachelor’s degree,3.0,50123.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,46487.0
Portugal,Less than a Bachelors,3.0,11520.0
Spain,Master’s degree,6.0,42657.0
Germany,Less than a Bachelors,20.0,38388.0
Germany,Post grad,9.0,74651.0
Israel,Less than a Bachelors,5.0,100440.0
India,Bachelor’s degree,3.0,15477.0
Denmark,Less than a Bachelors,3.0,78464.0
Switzerland,Post grad,1.0,12408.0
Germany,Master’s degree,6.0,59507.0
Denmark,Post grad,5.0,80868.0
